date,final,seasonal,seasonaladj,trend,irregular,adjustfac,year,population,population_over18,pc_over18,rate,month
2012-01-31,1022566.27848053,0.956014053063471,1022566.27848053,1028328.00620528,0.994396994256713,0.937216413418281,2012,309138711,235158852,76.06904073556805,4.34840649111746,1
2012-02-29,1060741.70406038,1.1983934671761,1060741.70406038,1048872.13657381,1.01131650567565,1.22168930950813,2012,309138711,235158852,76.06904073556805,4.510745375047077,2
2012-03-31,1051468.08378699,1.15692854750912,1051468.08378699,1057910.88701167,0.993909880970334,1.18836303190458,2012,309138711,235158852,76.06904073556805,4.471309818211692,3
2012-04-30,1068230.30455694,0.931147500712824,1068230.30455694,1075262.54434391,0.993459978845202,0.916344907857671,2012,309138711,235158852,76.06904073556805,4.542590234098182,4
2012-05-31,1114523.81571185,0.787648455350844,1114523.81571185,1111005.45515993,1.0031668256313,0.783403806801863,2012,309138711,235158852,76.06904073556805,4.739450827527641,5
2012-06-30,1147952.04633351,0.743648664262481,1147952.04633351,1153503.24419861,0.995187531640661,0.75975586505171,2012,309138711,235158852,76.06904073556805,4.881602527696937,6
2012-07-31,1204422.0559594,0.750476253947572,1204422.0559594,1191826.40471514,1.01056836062234,0.735720004142693,2012,309138711,235158852,76.06904073556805,5.121738117514709,7
2012-08-31,1209686.8243034,0.879997899347977,1209686.8243034,1203404.34908753,1.00522058543385,0.891184873920401,2012,309138711,235158852,76.06904073556805,5.144126253445904,8
2012-09-30,1188366.42064893,0.886320708138425,1188366.42064893,1198952.72312334,0.991170375386589,0.881282642964707,2012,309138711,235158852,76.06904073556805,5.053462417178877,9
2012-10-31,1209635.24733541,0.971065406945913,1209635.24733541,1229505.4464146,0.983838868597825,0.957678608119121,2012,309138711,235158852,76.06904073556805,5.14390692524477,10
2012-11-30,1313881.0747997,1.19874050994032,1313881.0747997,1293875.3780623,1.01546184205728,1.2224456465703,2012,309138711,235158852,76.06904073556805,5.5872065356047065,11
2012-12-31,1621394.34115987,1.50627998029445,1621394.34115987,1339531.38457376,1.21041907627704,1.49308458685517,2012,309138711,235158852,76.06904073556805,6.894889677212193,12
2013-01-31,1996897.83317305,0.969426360118542,1996897.83317305,1362527.45259545,1.46558355897284,0.964202107896796,2013,311536594,237659116,76.28609947504273,8.402361612642919,1
2013-02-28,1382631.07077815,1.24584204165322,1382631.07077815,1366233.16583532,1.01200227410144,1.23481689084213,2013,311536594,237659116,76.28609947504273,5.817706865400232,2
2013-03-31,1334296.25031618,1.18527741671917,1334296.25031618,1345809.98570091,0.991444754083365,1.1953975735314,2013,311536594,237659116,76.28609947504273,5.614328087950054,3
2013-04-30,1330012.26721443,0.950435873245068,1330012.26721443,1316692.51832985,1.01011606635502,0.943870316797315,2013,311536594,237659116,76.28609947504273,5.59630234093116,4
2013-05-31,1271188.3750629,0.790609000885653,1271188.3750629,1276605.69719777,0.995756464077541,0.800659618956662,2013,311536594,237659116,76.28609947504273,5.348788619843642,5
2013-06-30,1234423.33942626,0.739753085771785,1234423.33942626,1236877.48374416,0.998015854965306,0.73554814705789,2013,311536594,237659116,76.28609947504273,5.194092110593646,6
2013-07-31,1207746.88424507,0.743331986738325,1207746.88424507,1209648.21079181,0.998428198769054,0.7330846484058,2013,311536594,237659116,76.28609947504273,5.081845395087096,7
2013-08-31,1189010.54821183,0.871942618745848,1189010.54821183,1198427.77994975,0.992142011479141,0.895633854217313,2013,311536594,237659116,76.28609947504273,5.003008376972294,8
2013-09-30,1207851.28688764,0.905395194340692,1207851.28688764,1193991.2189803,1.01160818244474,0.891001989800512,2013,311536594,237659116,76.28609947504273,5.082284690849561,9
2013-10-31,1170629.25913881,0.988593845809708,1170629.25913881,1167948.76536826,1.00229504396941,0.983266299739325,2013,311536594,237659116,76.28609947504273,4.925665292547878,10
2013-11-30,1123835.41963659,1.18883881656944,1123835.41963659,1133354.27223255,0.99160116758795,1.21458869879844,2013,311536594,237659116,76.28609947504273,4.728770511948676,11
2013-12-31,1116544.53464814,1.47401439694616,1116544.53464814,1111415.08977648,1.00461523774407,1.44503156831845,2013,311536594,237659116,76.28609947504273,4.69809260187663,12
2014-01-31,1089837.15350471,0.916572617992726,1089837.15350471,1099321.03494428,0.991372964640799,0.928224548728995,2014,314107084,240329426,76.5119407494802,4.534763685178984,1
2014-02-28,1102470.02974067,1.18198421954844,1102470.02974067,1106749.36241131,0.996133422059251,1.1715241822073,2014,314107084,240329426,76.5119407494802,4.587328518567135,2
2014-03-31,1133470.91830612,1.14856744002549,1133470.91830612,1124067.87541495,1.00836519137041,1.13850569887447,2014,314107084,240329426,76.5119407494802,4.716321830295222,3
2014-04-30,1126983.1861381,0.92996998121002294,1126983.1861381,1125900.87763275,1.00096128222905,0.919995801847704,2014,314107084,240329426,76.5119407494802,4.689326666714962,4
2014-05-31,1116249.44989346,0.792621155282265,1116249.44989346,1120399.01264638,0.996296352722481,0.814157176146191,2014,314107084,240329426,76.5119407494802,4.6446640699481385,5
2014-06-30,1122489.98212509,0.754791408581585,1122489.98212509,1117148.41876488,1.00478142677418,0.74279237523483,2014,314107084,240329426,76.5119407494802,4.6706306456417455,6
2014-07-31,1107898.11096752,0.762870605268663,1107898.11096752,1119582.58638356,0.989563543093525,0.75875948490054,2014,314107084,240329426,76.5119407494802,4.60991452194256,7
2014-08-31,1141043.06421038,0.886817713528573,1141043.06421038,1136359.73599282,1.00412134297725,0.894389556371589,2014,314107084,240329426,76.5119407494802,4.747829190963823,8
2014-09-30,1156158.68910586,0.925126452819025,1156158.68910586,1157054.27922954,0.999225973975672,0.918735732394558,2014,314107084,240329426,76.5119407494802,4.810724630557142,9
2014-10-31,1174455.81040123,1.02199758245843,1174455.81040123,1162896.34050949,1.00994024100779,1.03498972820845,2014,314107084,240329426,76.5119407494802,4.886858134472596,10
2014-11-30,1146238.98299233,1.22766296088149,1146238.98299233,1160609.84354131,0.987617836752853,1.22068462228296,2014,314107084,240329426,76.5119407494802,4.76944917678258,11
2014-12-31,1175880.07886607,1.4957481385602,1175880.07886607,1168734.81913823,1.00611367062129,1.47512823048477,2014,314107084,240329426,76.5119407494802,4.892784451896747,12
2015-01-31,1176762.3147026,0.908498279972642,1176762.3147026,1173954.12916276,1.00239207433244,0.933182756007557,2015,316515021,242831196,76.72027546522034,4.846009631738585,1
2015-02-28,1165682.87922249,1.1429665067068,1165682.87922249,1168249.45365016,0.997803059595149,1.13285175885984,2015,316515021,242831196,76.72027546522034,4.800383552130139,2
2015-03-31,1164515.47275647,1.09832738459101,1164515.47275647,1162452.19788219,1.00177493309233,1.07673150708081,2015,316515021,242831196,76.72027546522034,4.795576070697564,3
2015-04-30,1155113.92000529,0.897635423883062,1155113.92000529,1168021.90691657,0.988948848617618,0.896227187700463,2015,316515021,242831196,76.72027546522034,4.756859658201782,4
2015-05-31,1197815.32481271,0.792435592155999,1197815.32481271,1187095.79548087,1.00903004574074,0.799201579884349,2015,316515021,242831196,76.72027546522034,4.932707759725855,5
2015-06-30,1197401.1767979001,0.773717685089825,1197401.1767979001,1202568.86930546,0.995702788722154,0.768372887740439,2015,316515021,242831196,76.72027546522034,4.931002262155395,6
2015-07-31,1216618.98048455,0.795024207272717,1216618.98048455,1211321.51685567,1.00437329276758,0.805130953661329,2015,316515021,242831196,76.72027546522034,5.01014285036322,7
2015-08-31,1213677.21608354,0.89508248928849,1213677.21608354,1222208.89492313,0.993019459377997,0.887241340391016,2015,316515021,242831196,76.72027546522034,4.998028408522685,8
2015-09-30,1243486.4260225,0.905732043630393,1243486.4260225,1222878.44435852,1.01685202790109,0.896017822698644,2015,316515021,242831196,76.72027546522034,5.120785329503134,9
