Year_csis,Month_csis,Day_csis,State_csis,City_csis,Orientation_csis,vict_killed_csis,LE_status_csis,MIL_status_csis,Target_csis,Weapon_csis,Lat_csis,Long_csis,type_extremism_1,type_extremism_2,victim_category,victim_specific1,victim_specific2,susp_total,susp_hometown,susp_social_media_use
2020,5,30,Utah,Salt Lake City,Violent Far-right,0,,,Demonstrators,Other,40.7607793,-111.8910474,racist,anti blm,demonstration,social justice,BLM,1,"Salt Lake City, UT",
2020,6,2,New York,New York-Queens,Violent Far-right,0,,,Demonstrators,Vehicle,40.731,-73.796,anti blm,,demonstration,social justice,BLM,1,"New York, NY",
2020,6,2,Nebraska,Grand Island,Violent Far-right,0,,,Demonstrators,Firearms,40.925,-98.342,anti blm,,demonstration,social justice,BLM,1,"Alda, NE",
2020,6,3,Colorado,Longmont,Violent Far-right,0,,,Demonstrators,Melee,40.167,-105.102,anti blm,,demonstration,social justice,,1,"Longmont, CO",
2020,6,3,California,Porterville,Violent Far-right,0,,,Unknown,Explosives and Incendiaries,36.0652,-119.0168,white supremacist,,group,black,jewish,1,"Porterville, CA",
2020,6,4,Missouri,Brentwood,Violent Far-right,0,,,Demonstrators,Firearms,38.617,-90.35,anti blm,,demonstration,social justice,BLM,,,
2020,6,5,Texas,McAllen,Violent Far-right,0,,,Demonstrators,Melee,26.203,-98.23,anti blm,,demonstration,social justice,BLM,1,"McAllen, TX",
2020,6,6,Oregon,Coos Bay,Violent Far-right,0,,,Demonstrators,Firearms,43.367,-124.218,anti blm,,demonstration,social justice,BLM,1,"Coos Bay, OR",
2020,6,24,Wisconsin,Madison,Violent Far-right,0,,,Private Individuals,Explosives and Incendiaries,43.0754426,-89.3907848,white supremacist,anti blm,group,social justice,BLM,1,,
2020,7,7,Massachusetts,Newton,Violent Far-right,0,,,Demonstrators,Vehicle,42.3370413,-71.2092214,anti blm,,demonstration,social justice,BLM,,,
2020,7,25,Virginia,Richmond,Violent Far-right,0,,,"Government, Military, and Police",Other,37.539,-77.434,anti blm,,demonstration,social justice,police,,,
2020,7,30,New York,Amherst,Violent Far-right,0,,,Demonstrators,Vehicle,42.962,-78.745,anti blm,,demonstration,social justice,BLM,,,
2020,9,24,Delaware,Wilmington,Violent Far-right,0,,,Demonstrators,Firearms,39.744,-75.552,anti left,,individual,left,,1,"Dover, DE",
2020,10,1,Washington,Shoreline,Violent Far-right,0,,,Business,Explosives and Incendiaries,47.756,-122.341,anti blm,,demonstration,social justice,BLM,,,
2020,10,4,Georgia,Savannah,Violent Far-right,0,,,Demonstrators,Other,32.084,-81.1,racist,,demonstration,social justice,BLM,1,"Decatur, GA",
2020,10,10,Florida,Fort Myers,Violent Far-right,0,,,Abortion Related,Explosives and Incendiaries,26.622,-81.841,anti abortion,,building,abortion,,1,"Fort Myers, FL",
2020,10,13,Tennessee,Shelbyville,Violent Far-right,0,,,Private Individuals,Threats or Hoaxes,35.483,-86.46,white supremacist,,group,left,black,,,
2020,10,16,Kansas,Wichita,Violent Far-right,0,,,"Government, Military, and Police",Threats or Hoaxes,37.687,-97.331,anti government,,individual,government,,1,"Wichita, KS",
2020,10,19,Texas,Houston,Violent Far-right,0,Former,,Private Individuals,Firearms,29.76,-95.364,stop the steal,,individual,,,1,"Houston, TX",
2020,10,28,North Dakota,Dickinson,Violent Far-right,0,,,"Government, Military, and Police",Threats or Hoaxes,46.879,-102.79,stop the steal,,individual,government,,1,"Dickinson, ND",
2020,10,29,Illinois,Springfield,Violent Far-right,0,,,Religious Institutions,Threats or Hoaxes,39.782,-89.648,racist,anti blm,individual,black,,1,"Springfield, IL",
2020,10,30,Florida,Fort Lauderdale,Violent Far-right,0,,,Private Individuals,Other,26.122,-80.138,stop the steal,,individual,government,,,,
2020,10,31,Oregon,Forest Grove,Violent Far-right,0,Active,Veteran,Private Individuals,Other,45.52,-123.111,anti blm,,individual,black,BLM,1,"Forest Grove, OR",
2020,11,11,Alabama,Gadsden,Violent Far-right,0,,,Business,Explosives and Incendiaries,34.014,-86.006,anti blm,racist,individual,black,BLM,,,
2020,11,18,Oregon,Portland,Violent Far-right,0,,,"Government, Military, and Police",Threats or Hoaxes,45.523,-122.676,racist,,group,black,,,,
2020,11,26,Massachusetts,Boston,Violent Far-right,0,,,Other,Explosives and Incendiaries,42.3601,-71.0589,anti government,,group,,,1,"Boston, MA",
2020,12,1,Georgia,Lawrenceville,Violent Far-right,0,,,"Government, Military, and Police",Threats or Hoaxes,33.956,-83.988,stop the steal,,group,government,,,,
2020,12,3,North Carolina,Lewisville,Violent Far-right,0,,,Private Individuals,Melee,36.097,-80.419,anti blm,,individual,white,BLM,1,"Lewisville, NC",
2020,12,9,Washington,Spokane,Violent Far-right,0,,Veteran,"Government, Military, and Police",Threats or Hoaxes,47.66,-117.429,anti government,,group,left,,1,"Grand Coulee, WA",
2020,12,9,Texas,Little Elm,Violent Far-right,0,,,Private Individuals,Explosives and Incendiaries,33.163,-96.938,anti blm,racist,individual,black,BLM,,,
2020,12,10,Georgia,Atlanta,Violent Far-right,0,,,Religious Institutions,Threats or Hoaxes,33.756,-84.39,racist,,individual,government,black,,,
2020,12,12,District of Columbia,Washington DC,Violent Far-right,0,,,Religious Institutions,Explosives and Incendiaries,38.917,-77,white supremacist,,religious building,black,BLM,,,
2020,12,12,Georgia,Stockbridge,Violent Far-right,0,,,Demonstrators,Melee,33.544,-84.234,anti left,,individual,left,,1,,
2020,12,12,Georgia,Atlanta,Violent Far-right,0,,Veteran,Demonstrators,Firearms,33.756,-84.39,anti government,anti left,individual,left,,,,
2020,12,13,Florida,Miami Beach,Violent Far-right,0,,,Private Individuals,Melee,25.791,-80.134,anti semitic,,individual,jewish,,1,,
2020,12,13,Massachusetts,Springfield,Violent Far-right,0,,,Religious Institutions,Explosives and Incendiaries,42.102,-72.59,racist,,religious building,black,,,,
2020,12,21,Oregon,Salem,Violent Far-right,0,,,"Government, Military, and Police",Other,44.938,-123.03,anti covid lockdown,,group,police,media,4,,
2020,12,23,Maryland,West Friendship,Violent Far-right,0,,,"Government, Military, and Police",Threats or Hoaxes,39.305,-76.953,stop the steal,,individual,government,,1,"West Friendship, MD",
2019,9,21,Kansas,Topeka,Violent Far-right,0,,Active,Journalists and Media,Explosives and Incendiaries,38.4847,-98.3802,anti government,conspiracy theorist,group,left,government,1,"Topeka, KS",various
2019,8,3,Texas,El Paso,Violent Far-right,22,,,Private Individuals,Firearms,31.8481,-106.432,anti immigrant,,group,immigrant,,1,"Allen, TX",various
2019,7,28,California,Gilroy,Violent Far-right,3,,,Private Individuals,Firearms,37.0058,-121.568,white supremacist,anti government,group,,,1,"Gilroy, CA",various
2019,3,13,New York,Staten Island,Violent Far-right,1,,,Private Individuals,Firearms,40.5795,-74.1502,conspiracy theorist,,individual,,,1,"Staten Island, NY",various
2019,2,10,Missouri,Columbia,Violent Far-right,0,,Veteran,Abortion Related,Explosives and Incendiaries,38.9517,-92.3341,anti abortion,,building,abortion,,1,"Columbia, MO",various
2019,6,17,Texas,Dallas,Violent Far-right,0,,Veteran,"Government, Military, and Police",Firearms,32.778155,-96.795404,incel,,government building,,,1,"Dallas, TX",faceboo
2019,1,18,New York,Tompkins,Violent Far-right,0,,,Religious Institutions,Explosives and Incendiaries,43.1547845,-77.6155568,white supremacist,anti muslim,individual,muslim,,4,"Rochester, NY",discord
2019,3,27,Florida,St. Petersburg,Violent Far-right,1,,Veteran,Private Individuals,Firearms,27.7676,-82.6403,white supremacist,,individual,black,,1,St. Petersburg,various
2019,6,6,Texas,Harlingen,Violent Far-right,0,,,Multiple,Explosives and Incendiaries,26.1906,-97.6961,white supremacist,anti government,government building,,,1,"Harlingen, TX",various
2019,8,17,Ohio,Youngstown,Violent Far-right,0,,,Religious Institutions,Firearms,41.0998,-80.6495,anti semitic,white supremacist,building,jewish,education,1,"New Middletown, OH",instagram
2019,8,6,Colorado,Boulder,Violent Far-right,0,,,Religious Institutions,Unknown,40.015,-105.271,white supremacist,anti semitic,group,immigrant,jewish,1,"Boulder, CO",gab
2019,8,9,Florida,Orlando,Violent Far-right,0,,,Private Individuals,Firearms,28.5383,-81.3792,white supremacist,,group,black,,1,"Orlando, FL",facebook
2019,8,16,Florida,Miami Beach,Violent Far-right,0,,,Private Individuals,Unknown,47.6062,-122.332,anti immigrant,,group,immigrant,hispanic,1,"Clarksburg, MD",facebook
2019,11,1,Colorado,Pueblo,Violent Far-right,0,,Veteran,Religious Institutions,Explosives and Incendiaries,38.2544,-104.609,white supremacist,,religious building,jewish,,1,"Pueblo, CO",facebook
2019,10,1,Washington,Seattle,Violent Far-right,0,,,Unknown,Firearms,38.895,-77.0367,white supremacist,,group,social justice,media,4,"Redmond, WA - Montgomery, TX - Spring Hill, FL - Queen Creek, AZ",encrypted chats
2019,8,8,Nevada,Las Vegas,Violent Far-right,0,,,Religious Institutions,Explosives and Incendiaries,36.21,-115.22,white supremacist,,group,jewish,,1,"Las Vegas, NV",encrypted chats
2019,1,,Virginia,Charlottesville,Violent Far-right,0,,,Private Individuals,Threats or Hoaxes,38.034399,-78.487723,white supremacist,,individual,government,social justice,1,"Brandon, FL",various
2019,4,27,California,San Diego,Violent Far-right,1,,,Religious Institutions,Firearms,32.95,-117.017,anti semitic,,group,jewish,,1,"San Diego, CA",8chan
2019,12,28,New York,,Violent Far-left,0,,Veteran,Private Individuals,Melee,40.7142,-74.0064,,,,,,,,
2019,12,10,New Jersey,,Violent Far-left,4,,Veteran,Business,Firearms,40.7282,-74.0776,,,,,,,,
2019,12,6,Florida,Pensacola,Religious,3,,Active,"Government, Military, and Police",Firearms,30.4213,-87.2169,,,,,,,,
2019,11,8,Florida,Miami,Religious,0,,,Educational Institution,Explosives and Incendiaries,25.774591,-80.214195,,,,,,,,
2019,10,14,Florida,Miami,Violent Far-left,0,,,Religious Institutions,Melee,25.7617,-80.1918,,,,,,,,
2019,9,18,Alabama,,Religious,0,,,"Government, Military, and Police",Unknown,32.7569,-86.8445,,,,,,,,
2019,8,29,New York,New York City,Religious,0,,,Private Individuals,Melee,40.7142,-74.0064,,,,,,,,
2019,8,3,New York,New York City,Religious,0,,,Unknown,Unknown,40.7128,-74.006,,,,,,,,
2019,8,1,New York,New York City,Religious,0,,,Private Individuals,Melee,40.7128,-74.006,,,,,,,,
2019,7,26,Arizona,Tucson,Religious,0,,,Unknown,Unknown,32.1204,-110.938,,,,,,,,
2019,7,13,Washington,,Violent Far-left,0,,,"Government, Military, and Police",Explosives and Incendiaries,47.2529,-122.444,,,,,,,,
2019,7,9,New York,New York City,Religious,0,,,Multiple,Unknown,40.7128,-74.006,,,,,,,,
2019,6,19,Pennsylvania,Pittsburgh,Religious,0,,,Religious Institutions,Explosives and Incendiaries,40.4406,-79.9959,,,,,,,,
2019,6,7,New York,New York City,Religious,0,,,Private Individuals,Explosives and Incendiaries,40.7142,-74.0064,,,,,,,,
2019,5,31,Georgia,Decatur,Violent Far-left,0,,,"Government, Military, and Police",Melee,33.7748,-84.2963,,,,,,,,
2019,5,24,Florida,Fort Pierce,Religious,0,,,Transportation and Infrastructure,Unknown,27.436064,-80.342302,,,,,,,,
2019,5,22,New Jersey,Basking Ridge,Ethnonationalist,0,,,Private Individuals,Firearms,40.7066,-74.5493,,,,,,,,
2019,4,26,California,Reseda,Religious,0,,Veteran,Multiple,Explosives and Incendiaries,34.2011,-118.536,,,,,,,,
2019,4,24,California,San Diego,Violent Far-left,0,,,Business,Explosives and Incendiaries,32.715695,-117.161719,,,,,,,,
2019,4,23,Florida,Miami,Religious,0,,,"Government, Military, and Police",Threats or Hoaxes,25.774591,-80.214195,,,,,,,,
2019,4,4,Montana,Bozeman,Religious,0,,,Multiple,Firearms,45.674185,-111.048506,,,,,,,,
2019,4,3,Maryland,Prince George's County,Religious,0,,,Private Individuals,Vehicle,38.7849,-76.8721,,,,,,,,
2019,2,1,New York,New York City,Religious,0,,,Unknown,Firearms,40.7128,-74.006,,,,,,,,
2019,2,1,Texas,Dallas,Religious,0,,,Unknown,Firearms,32.778155,-96.795404,,,,,,,,
2019,1,16,Georgia,Cumming,Religious,0,,,"Government, Military, and Police",Firearms,34.2073,-84.1402,,,,,,,,
2019,1,12,Puerto Rico,San Juan,Ethnonationalist,0,,,"Government, Military, and Police",Threats or Hoaxes,18.398465,-66.054534,,,,,,,,
2019,1,7,Arizona,Fountain Hill,Religious,0,,,"Government, Military, and Police",Melee,33.608117,-111.740086,,,,,,,,
2019,2,15,District of Columbia,DC,Violent Far-right,0,,Veteran,"Government, Military, and Police",Firearms,38.895,-77.0367,white supremacist,anti government,group,left,,1,"Silver Spring, MD",
2019,2,22,Minnesota,Cambridge,Violent Far-right,0,,,"Government, Military, and Police",Explosives and Incendiaries,45.5657,-93.2259,anti government,anti police,group,police,,1,"Cambridge, MN",
2019,3,,Washington,Kent,Violent Far-right,0,,,Other,Threats or Hoaxes,47.389076,-122.237154,anti semitic,,religious building,jewish,government,1,"Kent, WA",
2019,3,24,California,Esconcido,Violent Far-right,0,,,Religious Institutions,Explosives and Incendiaries,33.1192,-117.086,anti muslim,,religious building,jewish,,,,
2019,4,,New York,New York City,Violent Far-right,0,,,Private Individuals,Threats or Hoaxes,40.7128,-74.006,anti semitic,anti lgbtq,religious building,jewish,,,"Brooklyn, NY",
2019,4,19,Oklahoma,Oklahoma City,Violent Far-right,0,,,Educational Institution,Threats or Hoaxes,35.472015,-97.520354,anti government,racist,building,education,,1,"Oklahoma City, OK",
2019,4,25,Texas,Austin,Violent Far-right,0,,Veteran,Religious Institutions,Explosives and Incendiaries,30.2433,-97.6906,anti muslim,,individual,muslim,,,,
2019,5,9,Massachusetts,Arlington,Violent Far-right,0,,,Religious Institutions,Explosives and Incendiaries,42.4167,-71.15,anti semitic,,religious building,jewish,,,,
2019,5,11,Massachusetts,Arlington,Violent Far-right,0,,,Religious Institutions,Explosives and Incendiaries,42.4167,-71.15,anti semitic,,individual,jewish,,,,
