GEOID,protests_left_wing,attendance_left_wing,protests_right_wing,attendance_right_wing,protests_pro_pan_int,attendance_pro_pan_int,protests_ant_pan_int,attendance_ant_pan_int,protests_racial_just,attendance_racial_just,protests_pro_trump,attendance_pro_trump,protests_ant_trump,attendance_ant_trump
29097,6,310,3,200,,,1,100,5,310,1,100,,
29099,4,240,3,20,1,0,3,20,3,240,,,,
29101,1,0,,,,,,,1,0,,,,
29107,2,100,,,,,,,2,100,,,,
29111,1,0,,,,,,,1,0,,,,
29115,1,15,,,,,,,1,15,,,,
29127,2,100,,,,,,,2,100,,,,
29147,1,300,,,,,,,1,300,,,,
29157,1,100,1,20,,,,,1,100,,,,
29159,1,0,1,0,,,,,1,0,,,,
29161,1,300,,,,,,,1,300,,,,
29169,1,0,,,,,,,1,0,,,,
29175,1,100,,,,,,,1,100,,,,
29183,7,650,1,100,,,,,7,650,1,100,,
29189,49,6542,8,150,4,2,8,150,40,6260,,,,
29195,1,300,1,50,,,1,50,1,300,,,,
29213,3,85,2,50,,,,,3,85,,,,
29510,50,8885,3,125,,,,,33,8495,1,125,,
30003,1,0,,,,,,,,,,,,
30013,5,920,5,103,,,,,3,900,,,,
30029,6,1065,5,152,,,,,4,1060,2,50,1,0
30031,6,3094,10,363,1,60,7,123,3,3020,1,40,,
30049,7,1971,10,752,1,1,6,502,3,1170,2,150,,
30053,1,200,2,20,,,,,1,200,,,,
30063,13,460,3,60,,,,,10,320,,,,
30081,1,250,,,,,,,1,250,,,,
30093,1,0,,,,,,,,,,,,
30111,4,1380,3,150,,,1,100,3,1350,1,50,,
31019,3,105,,,,,,,3,105,,,,
31035,1,50,,,,,,,1,50,,,,
31045,1,20,,,,,,,1,20,,,,
31053,3,120,1,0,,,,,2,120,,,,
31055,37,6817,6,2350,,,3,270,30,6750,1,80,1,0
31067,1,0,,,,,,,1,0,,,,
31079,9,385,1,0,,,1,0,9,385,,,,
31109,21,8215,6,2203,,,1,100,16,8100,3,103,1,5
31119,2,200,1,20,,,1,20,2,200,,,,
31141,1,50,,,,,,,1,50,,,,
31145,1,50,,,,,,,1,50,,,,
31153,2,100,,,,,,,1,100,,,,
31179,2,300,,,,,,,2,300,,,,
32003,47,6965,28,3240,1,0,17,2530,27,6490,8,510,,
32005,2,400,1,200,,,,,1,400,,,,
32007,3,201,3,60,,,2,50,3,201,,,,
32013,1,0,,,,,,,,,,,,
32031,7,1300,4,270,,,4,270,3,1200,,,,
32510,5,4,9,930,,,3,400,2,0,4,530,2,1
33001,4,340,1,0,,,1,0,4,340,,,,
33003,8,880,,,,,,,6,830,,,1,50
33005,6,400,1,50,,,,,6,400,1,50,,
33007,2,50,,,,,,,2,50,,,,
33009,5,310,,,,,,,2,200,,,,
33011,13,2301,7,200,,,2,5,8,2300,2,120,2,1
33013,7,3040,12,1218,1,0,5,1100,2,3000,5,105,1,10
33015,14,7120,7,130,,,5,130,8,7050,2,0,3,20
33017,16,1325,1,0,,,,,5,1020,1,0,,
33019,1,100,,,,,,,1,100,,,,
34001,10,1135,2,200,,,,,9,935,,,1,200
34003,36,5985,10,311,,,3,20,25,5730,3,240,3,20
34005,9,3110,,,,,,,8,3110,,,,
34007,10,1965,1,0,,,1,0,8,1960,,,1,5
34009,7,1320,3,26,,,1,25,5,1120,,,1,200
34011,4,75,,,,,,,3,75,,,,
34013,36,13350,6,100,,,5,100,27,12030,,,1,1000
34015,5,570,1,0,,,,,5,570,,,,
34017,17,5430,1,20,,,,,7,5120,,,,
34019,4,60,,,,,,,4,60,,,,
34021,18,1302,10,1531,,,4,330,8,1200,1,1,1,2
34023,14,4935,3,150,,,2,50,10,4850,,,,
34025,13,7520,7,390,,,5,90,11,7500,2,20,1,0
34027,12,1400,9,300,,,4,100,8,1400,5,200,1,0
34029,9,595,5,620,,,3,500,7,475,1,100,,
34031,6,1300,2,100,,,1,0,6,1300,,,,
34035,5,300,5,1175,,,,,3,200,4,1175,,
34037,9,800,7,165,,,4,65,8,700,,,,
34039,15,2473,2,40,,,1,40,10,2450,1,0,,
34041,1,100,,,,,,,1,100,,,,
35001,36,4490,9,282,,,4,260,27,3270,2,10,,
35005,2,100,8,120,,,5,120,2,100,1,0,,
35006,1,30,1,0,,,1,0,,,,,,
35009,2,0,1,0,,,,,2,0,,,,
35013,11,550,5,110,,,3,30,10,500,,,,
35015,5,80,4,3,,,2,3,5,80,,,,
35017,1,450,3,65,,,1,65,1,450,,,,
35027,2,50,,,,,,,2,50,,,,
35029,1,9,1,0,,,,,1,9,,,,
35035,5,85,3,13,,,1,0,5,85,1,3,,
35041,2,500,2,420,,,1,20,2,500,,,,
35043,3,220,3,125,,,,,3,220,1,5,,
35045,6,458,4,1000,,,4,1000,6,458,,,,
35047,1,0,,,,,,,,,,,,
35049,18,1520,13,1800,,,5,150,9,1130,4,800,1,20
35053,2,120,,,,,,,2,120,,,,
35055,2,10,1,200,,,,,,,1,200,1,10
36001,33,2053,18,1356,,,8,580,11,1690,6,76,4,3
36003,6,12,,,,,,,6,12,,,,
36005,9,320,2,200,,,,,7,220,,,,
